1993-94,1993-09-18T00:00:00Z,Everton,2,Liverpool,0
1993-94,1993-09-18T00:00:00Z,Ipswich,1,Aston Villa,2
1993-94,1993-09-18T00:00:00Z,Leeds,2,Sheffield United,1
1993-94,1993-09-18T00:00:00Z,QPR,2,Norwich,2
1993-94,1993-09-18T00:00:00Z,Sheffield Weds,2,Southampton,0
1993-94,1993-09-18T00:00:00Z,Swindon,2,Newcastle,2
1993-94,1993-09-18T00:00:00Z,Tottenham,5,Oldham,0
1993-94,1993-09-19T00:00:00Z,Man United,1,Arsenal,0
1993-94,1993-09-20T00:00:00Z,Wimbledon,1,Man City,0
1993-94,1993-09-25T00:00:00Z,Arsenal,1,Southampton,0
1993-94,1993-09-25T00:00:00Z,Blackburn,1,Sheffield Weds,1
1993-94,1993-09-25T00:00:00Z,Chelsea,1,Liverpool,0
1993-94,1993-09-25T00:00:00Z,Coventry,0,Leeds,2
1993-94,1993-09-25T00:00:00Z,Everton,1,Norwich,5
1993-94,1993-09-25T00:00:00Z,Man United,4,Swindon,2
1993-94,1993-09-25T00:00:00Z,Newcastle,2,West Ham,0
1993-94,1993-09-25T00:00:00Z,Oldham,1,Aston Villa,1
1993-94,1993-09-25T00:00:00Z,Sheffield United,0,Man City,1
1993-94,1993-09-26T00:00:00Z,Ipswich,2,Tottenham,2
1993-94,1993-09-27T00:00:00Z,Wimbledon,1,QPR,1
1993-94,1993-10-02T00:00:00Z,Aston Villa,0,Newcastle,2
1993-94,1993-10-02T00:00:00Z,Leeds,4,Wimbledon,0
1993-94,1993-10-02T00:00:00Z,Liverpool,0,Arsenal,0
1993-94,1993-10-02T00:00:00Z,Norwich,1,Coventry,0
1993-94,1993-10-02T00:00:00Z,QPR,3,Ipswich,0
1993-94,1993-10-02T00:00:00Z,Sheffield Weds,2,Man United,3
1993-94,1993-10-02T00:00:00Z,Southampton,3,Sheffield United,3
1993-94,1993-10-02T00:00:00Z,Swindon,1,Blackburn,3
1993-94,1993-10-02T00:00:00Z,West Ham,1,Chelsea,0
1993-94,1993-10-03T00:00:00Z,Tottenham,3,Everton,2
1993-94,1993-10-04T00:00:00Z,Man City,1,Oldham,1
1993-94,1993-10-16T00:00:00Z,Arsenal,0,Man City,0
1993-94,1993-10-16T00:00:00Z,Chelsea,1,Norwich,2
1993-94,1993-10-16T00:00:00Z,Coventry,1,Southampton,1
1993-94,1993-10-16T00:00:00Z,Liverpool,2,Oldham,1
1993-94,1993-10-16T00:00:00Z,Man United,2,Tottenham,1
1993-94,1993-10-16T00:00:00Z,Newcastle,1,QPR,2
1993-94,1993-10-16T00:00:00Z,Sheffield Weds,2,Wimbledon,2
1993-94,1993-10-16T00:00:00Z,Swindon,1,Everton,1
1993-94,1993-10-16T00:00:00Z,West Ham,0,Aston Villa,0
1993-94,1993-10-17T00:00:00Z,Ipswich,0,Leeds,0
1993-94,1993-10-18T00:00:00Z,Blackburn,0,Sheffield United,0
1993-94,1993-10-23T00:00:00Z,Aston Villa,1,Chelsea,0
1993-94,1993-10-23T00:00:00Z,Everton,0,Man United,1
1993-94,1993-10-23T00:00:00Z,Leeds,3,Blackburn,3
1993-94,1993-10-23T00:00:00Z,Man City,1,Liverpool,1
1993-94,1993-10-23T00:00:00Z,Norwich,0,West Ham,0
1993-94,1993-10-23T00:00:00Z,Oldham,0,Arsenal,0
1993-94,1993-10-23T00:00:00Z,QPR,5,Coventry,1
1993-94,1993-10-23T00:00:00Z,Sheffield United,1,Sheffield Weds,1
1993-94,1993-10-23T00:00:00Z,Tottenham,1,Swindon,1
1993-94,1993-10-24T00:00:00Z,Southampton,2,Newcastle,1
1993-94,1993-10-25T00:00:00Z,Wimbledon,0,Ipswich,2
1993-94,1993-10-30T00:00:00Z,Arsenal,0,Norwich,0
1993-94,1993-10-30T00:00:00Z,Blackburn,1,Tottenham,0
1993-94,1993-10-30T00:00:00Z,Chelsea,0,Oldham,1
1993-94,1993-10-30T00:00:00Z,Ipswich,0,Everton,2
1993-94,1993-10-30T00:00:00Z,Liverpool,4,Southampton,2
1993-94,1993-10-30T00:00:00Z,Man United,2,QPR,1
1993-94,1993-10-30T00:00:00Z,Newcastle,4,Wimbledon,0
1993-94,1993-10-30T00:00:00Z,Sheffield Weds,3,Leeds,3
1993-94,1993-10-30T00:00:00Z,Swindon,1,Aston Villa,2
