1993-94,Newcastle,4,Wimbledon,0
1993-94,Sheffield Weds,3,Leeds,3
1993-94,Swindon,1,Aston Villa,2
1993-94,Coventry,0,Sheffield United,0
1993-94,West Ham,3,Man City,1
1993-94,Arsenal,1,Aston Villa,2
1993-94,Coventry,2,Everton,1
1993-94,Ipswich,1,Sheffield Weds,4
1993-94,Leeds,4,Chelsea,1
1993-94,Liverpool,2,West Ham,0
1993-94,QPR,1,Blackburn,0
1993-94,Sheffield United,1,Norwich,2
1993-94,Southampton,1,Tottenham,0
1993-94,Wimbledon,3,Swindon,0
1993-94,Man City,2,Man United,3
1993-94,Oldham,1,Newcastle,3
1993-94,Aston Villa,1,Sheffield United,0
1993-94,Blackburn,2,Southampton,0
1993-94,Chelsea,0,Arsenal,2
1993-94,Everton,0,QPR,3
1993-94,Man United,3,Wimbledon,1
1993-94,Norwich,1,Man City,1
1993-94,Sheffield Weds,0,Coventry,0
1993-94,Swindon,2,Ipswich,2
1993-94,Tottenham,1,Leeds,1
1993-94,West Ham,2,Oldham,0
1993-94,Newcastle,3,Liverpool,0
1993-94,Chelsea,0,Man City,0
1993-94,Blackburn,2,Coventry,1
1993-94,Everton,1,Leeds,1
1993-94,Aston Villa,0,Southampton,2
1993-94,Man United,0,Ipswich,0
1993-94,Newcastle,4,Sheffield United,0
1993-94,Sheffield Weds,3,Oldham,0
1993-94,Swindon,1,QPR,0
1993-94,Tottenham,1,Wimbledon,1
1993-94,West Ham,0,Arsenal,0
1993-94,Arsenal,2,Newcastle,1
1993-94,Coventry,0,Man United,1
1993-94,Ipswich,1,Blackburn,0
1993-94,Leeds,3,Swindon,0
1993-94,Man City,1,Sheffield Weds,3
1993-94,Oldham,2,Norwich,1
1993-94,QPR,1,Tottenham,1
1993-94,Sheffield United,1,Chelsea,0
1993-94,Wimbledon,1,Everton,1
1993-94,Liverpool,2,Aston Villa,1
1993-94,Southampton,0,West Ham,2
1993-94,Coventry,1,Arsenal,0
1993-94,Everton,1,Southampton,0
1993-94,Ipswich,0,Oldham,0
1993-94,Leeds,3,Man City,2
1993-94,Man United,2,Norwich,2
1993-94,QPR,2,Aston Villa,2
1993-94,Sheffield Weds,3,Liverpool,1
1993-94,Swindon,0,Sheffield United,0
1993-94,Tottenham,1,Newcastle,2
1993-94,Wimbledon,1,West Ham,2
1993-94,Blackburn,2,Chelsea,0
1993-94,Arsenal,1,Tottenham,1
1993-94,Oldham,2,Swindon,1
1993-94,Sheffield United,0,Man United,3
1993-94,Aston Villa,2,Sheffield Weds,2
1993-94,Liverpool,3,QPR,2
1993-94,Man City,1,Everton,0
1993-94,Southampton,0,Ipswich,1
1993-94,West Ham,0,Leeds,1
1993-94,Aston Villa,0,Wimbledon,1
1993-94,Chelsea,1,Ipswich,1
1993-94,Liverpool,2,Swindon,2
1993-94,Man City,0,Tottenham,2
1993-94,Newcastle,1,Man United,1
1993-94,Oldham,1,Blackburn,2
1993-94,Sheffield United,0,Everton,0
1993-94,Southampton,0,QPR,1
